公司,岗位,工资
上海喜宝供应链管理有限公司,Python/Odoo高级开发工程师,2.5-3万/月
卢博智能科技（上海）有限公司,python高级软件开发工程师,1.5-3万/月
传音控股上海研发中心,Python高级开发工程师,2-2.5万/月
上海金杉数金互联网科技有限公司,Python高级开发工程师,1.5-2万/月
上海答派体育文化发展有限公司,Python高级开发工程师,1.3-2.5万/月
浙江迅风智能科技有限公司,Python高级开发工程师,1-2万/月
上海尔易信息科技有限公司,python 高级工程师,1-1.4万/月
上海思贤信息技术股份有限公司,python高级工程师,1.5-2万/月
上海百趣生物医学科技有限公司,Python高级开发工程师,1-2.5万/月
深圳市腾讯计算机系统有限公司,25923-Python高级工程师（上海） (职位编号：46007),
上海企通软件有限公司,Python/Odoo高级开发工程师,1.5-2万/月
上海眼控科技股份有限公司,Python高级工程师（数据处理）,2-2.5万/月
上海灏程信息科技有限公司,Python高级开发工程师,1.5-3万/月
上海催米网络科技有限公司,Python高级开发工程师,1.8-3万/月
上海财联社金融科技有限公司,高级Python开发工程师,1.5-2.5万/月
兰桂骐农业科技（上海）有限公司,java/python高级工程师,2.2-3.2万/月
上海牙木通讯技术有限公司,Linux高级开发工程师,1.5-2.5万/月
晶能生物技术（上海）有限公司,高级生物信息工程师,1.5-2万/月
智巡密码（上海）检测技术有限公司,密码产品高级测评工程师 (职位编号：002),1-1.5万/月
上海鹍远生物技术有限公司,生物信息高级科学家/生信经理,30-60万/年
上海银科创展投资集团有限公司,高级测试工程师,1.5-2.5万/月
上海锐承通讯技术有限公司,高级Java服务器开发工程师,1.4-2.2万/月
墨智科技（深圳）有限公司,高级量化风控分析经理/风控建模 (职位编号：CP-01-2),1.5-3万/月
上海魔铠信息科技有限公司,Houdini特效（高级）,1.5-2.5万/月
睿励科学仪器（上海）有限公司,高级算法工程师,1.5-3万/月
上海昂朴生物科技有限公司,高级生信分析员（提供住宿）,0.8-1.4万/月
湘财证券股份有限公司,高级C++工程师（信息技术中心）,
上海巨人网络科技有限公司,游戏测试开发工程师（高级/资深）,1.5-2.5万/月
上海网元电子商务有限公司,Python高级开发工程师,1-2万/月
博彦科技股份有限公司,高级测试开发工程师（Java/Python）-上海浦东-05209 (职位编号：05209),1.5-1.9万/月
迈智微电子（上海）有限公司（美资软件公司）,Python高级开发工程师,2-2.5万/月
交银企业管理服务（上海）有限公司张江高科技园区分公司,Python高级开发工程师（金融科技）,1.5-2万/月
江西点内人工智能科技有限公司,Python高级开发工程师,2-3.5万/月
上海犀语科技有限公司,Python高级开发工程师（数据处理）,1.5-2.5万/月
上海百胜软件股份有限公司,Python高级开发工程师,1.2-2万/月
岷驲企业管理咨询服务（上海）有限公司,高级python算法工程师,2-4万/月
上海十维教育科技有限公司,python高级研发工程师,3-4万/月
上海天旦网络科技发展有限公司,高级Python开发工程师,1.2-2.6万/月
聚时科技（上海）有限公司,高级Python工程师(AI 方向),30-50万/年
上海合阔信息技术有限公司,Python高级开发工程师,2.5-3万/月
上海东方低碳科技产业股份有限公司,高级Python/Django后端软件工程师,1.5-2万/月
互道信息技术（上海）有限公司,Python高级开发工程师,2-4万/月
上海数旦信息技术有限公司,Python开发高级工程师,2-3万/月
北京中软国际信息技术有限公司,VBA/Python高级开发工程,1.5-2万/月
亿翰智库,高级Python算法工程师,2-2.5万/月
字节跳动,高级Python开发工程师,2.5-5万/月
翔傲信息科技（上海）有限公司,高级Python开发工程师（产品开发）,2-2.5万/月
上海韦地计算机科技有限公司,Python高级开发工程师,1.5-2万/月
